# Southeast U.S. native standouts — garden-worthy species for the SE coastal
# plain and Piedmont. One species per line: Scientific Name | Common Name
# Sources: Lady Bird Johnson Wildflower Center, regional native plant societies.

Stokesia laevis | Stokes' Aster
Callicarpa americana | American Beautyberry
Spigelia marilandica | Indian Pink
Hibiscus coccineus | Scarlet Rosemallow
Salvia coccinea | Scarlet Sage
Magnolia grandiflora | Southern Magnolia
Coreopsis gladiata | Coastal Plain Tickseed
Asclepias perennis | Aquatic Milkweed

# Already in the Ohio set — should be skipped as duplicates:
Asclepias tuberosa | Butterfly Weed
Echinacea purpurea | Purple Coneflower

# Batch 2
Muhlenbergia capillaris | Pink Muhly Grass
Ilex vomitoria | Yaupon Holly
Itea virginica | Virginia Sweetspire
Fothergilla gardenii | Dwarf Fothergilla
Aesculus parviflora | Bottlebrush Buckeye
Clethra alnifolia | Coastal Sweetpepperbush
Rudbeckia maxima | Giant Coneflower
Helianthus angustifolius | Swamp Sunflower
Baptisia alba | White Wild Indigo
Chionanthus virginicus | Fringe Tree
Sabal minor | Dwarf Palmetto
Chasmanthium latifolium | River Oats

# Batch 3
Coreopsis verticillata | Threadleaf Tickseed
Amsonia hubrichtii | Arkansas Bluestar
Yucca filamentosa | Adam's Needle
Monarda punctata | Spotted Beebalm
Solidago odora | Sweet Goldenrod
Pityopsis graminifolia | Narrowleaf Silkgrass
Crinum americanum | Swamp Lily
Lilium superbum | Turk's Cap Lily
Eragrostis spectabilis | Purple Lovegrass
Gaillardia pulchella | Firewheel

# Batch 4 — trees, shrubs, vines, forbs
Quercus virginiana | Live Oak
Quercus phellos | Willow Oak
Magnolia virginiana | Sweetbay Magnolia
Taxodium distichum | Bald Cypress
Nyssa aquatica | Water Tupelo
Persea borbonia | Redbay
Pinus palustris | Longleaf Pine
Oxydendrum arboreum | Sourwood
Halesia carolina | Carolina Silverbell
Aesculus pavia | Red Buckeye
Diospyros virginiana | Common Persimmon
Ilex opaca | American Holly
Prunus caroliniana | Carolina Laurelcherry
Crataegus marshallii | Parsley Hawthorn
Hydrangea quercifolia | Oakleaf Hydrangea
Rhododendron austrinum | Florida Flame Azalea
Rhododendron canescens | Piedmont Azalea
Kalmia latifolia | Mountain Laurel
Illicium floridanum | Florida Anise
Cyrilla racemiflora | Swamp Titi
Morella cerifera | Wax Myrtle
Vaccinium arboreum | Sparkleberry
Viburnum nudum | Possumhaw Viburnum
Calycanthus floridus | Carolina Allspice
Aronia arbutifolia | Red Chokeberry
Leucothoe axillaris | Coastal Doghobble
Lyonia lucida | Fetterbush
Gelsemium sempervirens | Carolina Jessamine
Bignonia capreolata | Crossvine
Lonicera sempervirens | Coral Honeysuckle
Wisteria frutescens | American Wisteria
Hibiscus moscheutos | Crimsoneyed Rosemallow
Iris virginica | Virginia Iris
Pontederia cordata | Pickerelweed
Chamaecrista fasciculata | Partridge Pea
Salvia lyrata | Lyreleaf Sage
